Airline Name,IATA Designator,3-Digit Code,ICAO Designator,Country
ABSA Cargo Airline,M3,,TUS,Brazil
Adria Airways,JP,165,ADR,Slovenia
Aegean Airlines,A3,390,AEE,Greece
Aer Lingus,EI,053,EIN,Ireland
Aero República,P5,845,RBP,Colombia
Aeroflot,SU,555,AFL,Russian Federation
Aerolineas Argentinas,AR,044,ARG,Argentina
Aerolineas Galapagos S.A. Aerogal,2K,547,547,Ecuador
Aeromexico,AM,139,AMX,Mexico
Afriqiyah Airways,8U,546,AAW,Libya
Aigle Azur,ZI,439,AAF,France
Air Algérie,AH,124,DAH,Algeria
Air Arabia,G9,514,ABY,United Arab Emirates
Air Astana,KC,465,KZR,Kazakhstan
Air Austral,UU,760,REU,France
Air Baltic,BT,657,BTI,Latvia
Air Berlin,AB,745,BER,Germany
Air Botswana,BP,636,BOT,Botswana
Air Caledonie,TY,190,TPC,New Caledonia
Air Canada,AC,014,ACA,Canada
Air China Limited,CA,999,CCA,China (People's Republic of)
Air Corsica,XK,146,CCM,France
Air Europa,UX,996,AEA,Spain
Air France,AF,057,AFR,France
Air India,AI,098,AIC,India
Air Koryo,JS,120,KOR,"Korea, Democratic People's Republic of"
Air Macau,NX,675,AMU,"Macao SAR, China"
Air Madagascar,MD,258,MDG,Madagascar
Air Malta,KM,643,AMC,Malta
Air Mauritius,MK,239,MAU,Mauritius
Air Moldova,9U,572,MLD,"Moldova, Republic of"
Air Namibia,SW,186,NMB,Namibia
Air New Zealand,NZ,086,ANZ,New Zealand
Air Niugini,PX,656,ANG,Independent State of Papua New Guinea
Air Nostrum,YW,694,ANE,Spain
Air One S.p.A.,AP,867,ADH,Italy
Air SERBIA a.d. Beograd,JU,115,JAT,Serbia
Air Seychelles,HM,061,SEY,Seychelles
Air Tahiti,VT,135,VTA,French Polynesia
Air Tahiti Nui,TN,244,THT,French Polynesia
Air Transat,TS,649,TSC,Canada
Air Uganda,U7,926,UGA,Uganda
Air Vanuatu,NF,218,AVN,Vanuatu
AirBridgeCargo Airlines,RU,580,ABW,Russian Federation
Aircalin,SB,063,ACI,New Caledonia
Airlink,4Z,749,,South Africa
Alaska Airlines,AS,027,ASA,United States
Alitalia,AZ,055,AZA,Italy
All Nippon Airways,NH,205,ANA,Japan
AlMasria Universal Airlines,UJ,110,LMU,Egypt
ALS,K4,,,Kenya
American Airlines,AA,001,AAL,United States
Arik Air,W3,725,ARA,Nigeria
Arkia Israeli Airlines,IZ,238,AIZ,Israel
Asia Pacific Airlines,A6,046,MGE,United States
Asiana,OZ,988,AAR,Korea
Atlas Air,5Y,369,GTI,United States
Atlasjet Airlines,KK,610,KKK,Turkey
Austral,AU,143,AUT,Argentina
Austrian,OS,257,AUA,Austria
AVIANCA,AV,134,AVA,Colombia
